trade_no,direction,entry_time,exit_time,entry_price,exit_price,notional,pnl,fees,funding,liquidated,liq_price_est,liq_loss,net_trade,balance_before,balance_after,exit_reason,stop_streak
81,long,2021-02-01 17:15:00+00:00,2021-02-01 19:30:00+00:00,0.03252356521034258,0.03246285827692551,196.51798893318872,-0.36681109196572614,0.19651798893318873,0.0,False,0.02951513542838589,0.0,-0.5633290808989149,982.5899446659436,982.0266155850446,long_exit_LH,0
82,long,2021-02-01 22:15:00+00:00,2021-02-02 01:00:00+00:00,0.03276827245236131,0.03278110016123534,196.40532311700892,0.07688627192407929,0.19640532311700892,-0.019640532311700893,False,0.029737207250517886,0.0,-0.13915958350463054,982.0266155850446,981.88745600154,long_exit_LH,0
83,short,2021-02-02 05:45:00+00:00,2021-02-02 06:15:00+00:00,0.03274099370348564,0.032791021535354715,196.37749120030801,-0.300062368345094,0.196377491200308,0.0,False,0.035769535621058064,0.0,-0.496439859545402,981.88745600154,981.3910161419947,short_exit_LB,0
84,long,2021-02-02 06:15:00+00:00,2021-02-02 09:15:00+00:00,0.03279102072717238,0.03303692525217473,196.27820322839895,1.4719181429200747,0.19627820322839895,-0.05800806018212103,False,0.029757851309908937,0.0,1.2176318795095546,981.3910161419947,982.6086480215042,long_exit_LH,0
85,long,2021-02-02 10:30:00+00:00,2021-02-02 11:15:00+00:00,0.033361201247744825,0.03289082430438272,196.52172960430084,-2.7708621697713585,0.19652172960430084,0.0,False,0.030275290132328426,0.0,-2.967383899375659,982.6086480215042,979.6412641221285,long_exit_LH,0
86,short,2021-02-02 11:15:00+00:00,2021-02-02 12:15:00+00:00,0.032890830000746246,0.03312934259859332,195.92825282442573,-1.4208019855908702,0.19592825282442572,0.0,False,0.035933231775815276,0.0,-1.616730238415296,979.6412641221285,978.0245338837133,short_exit_LB,0
87,long,2021-02-03 00:00:00+00:00,2021-02-03 04:30:00+00:00,0.03341822701819726,0.034141669857696205,195.60490677674267,4.234484645203875,0.19560490677674267,-0.16962270700958795,False,0.03032704101901401,0.0,3.8692570314175443,978.0245338837133,981.8937909151308,long_exit_LH,0
88,long,2021-02-03 08:15:00+00:00,2021-02-03 11:30:00+00:00,0.033728017453608955,0.03390680668041165,196.37875818302618,1.040986366432856,0.1963787581830262,0.0,False,0.030608175839150126,0.0,0.8446076082498298,981.8937909151308,982.7383985233806,long_exit_LH,0
89,short,2021-02-03 11:30:00+00:00,2021-02-03 12:15:00+00:00,0.03390680472851859,0.033944629819493984,196.54767970467614,-0.21926082169513914,0.19654767970467615,0.0,False,0.03704318416590656,0.0,-0.4158085013998153,982.7383985233806,982.3225900219808,short_exit_LB,0
90,long,2021-02-03 12:15:00+00:00,2021-02-03 13:30:00+00:00,0.03394462887335344,0.033948337264969534,196.46451800439618,0.0214634066009468,0.19646451800439618,0.0,False,0.03080475070256825,0.0,-0.17500111140344937,982.3225900219808,982.1475889105773,long_exit_LH,0
91,long,2021-02-03 14:45:00+00:00,2021-02-03 15:30:00+00:00,0.03403112285209387,0.03391836014909453,196.42951778211545,-0.6508725401226584,0.19642951778211545,0.0,False,0.03088324398827519,0.0,-0.8473020579047739,982.1475889105773,981.3002868526725,long_exit_LH,0
92,long,2021-02-03 16:30:00+00:00,2021-02-03 17:45:00+00:00,0.03434673638702834,0.03426031808508551,196.2600573705345,-0.4938012364857275,0.1962600573705345,0.0,False,0.03116966327122822,0.0,-0.690061293856262,981.3002868526725,980.6102255588162,long_exit_LH,0
93,long,2021-02-03 20:15:00+00:00,2021-02-03 22:15:00+00:00,0.034300521670451306,0.03473404010033244,196.1220451117632,2.4787530020329673,0.1961220451117632,0.0,False,0.03112772341593456,0.0,2.282630956921204,980.6102255588162,982.8928565157374,long_exit_LH,0
94,short,2021-02-04 07:45:00+00:00,2021-02-04 09:15:00+00:00,0.03369795220245765,0.03297338604680698,196.5785713031475,4.226790365084395,0.19657857130314751,0.24185061627426235,False,0.036815012781184986,0.0,4.27206241005551,982.8928565157374,987.1649189257929,short_exit_LB,0
